utc,value,local,mo,hr,dofw,pv,trend,lag,iso,tmpf
2022-01-02 01:00:00+00:00,0.822352,2022-01-01 17:00:00-08:00,1,17,5,0.0,0.16410852,,3302.0,30.9
2022-01-02 02:00:00+00:00,0.81824,2022-01-01 18:00:00-08:00,1,18,5,0.0,0.16410888,,3426.0,30.0
2022-01-02 03:00:00+00:00,0.819923,2022-01-01 19:00:00-08:00,1,19,5,0.0,0.16410924,,3403.0,30.0
2022-01-02 04:00:00+00:00,0.78834,2022-01-01 20:00:00-08:00,1,20,5,0.0,0.1641096,,3336.0,30.0
2022-01-02 05:00:00+00:00,0.741449,2022-01-01 21:00:00-08:00,1,21,5,0.0,0.16410996,,3244.0,30.9
2022-01-02 06:00:00+00:00,0.706105,2022-01-01 22:00:00-08:00,1,22,5,0.0,0.16411032,,3086.0,30.0
2022-01-02 07:00:00+00:00,0.672697,2022-01-01 23:00:00-08:00,1,23,5,0.0,0.16411068,,2849.0,30.0
2022-01-02 08:00:00+00:00,0.645525,2022-01-02 00:00:00-08:00,1,0,6,0.0,0.16411104,,2761.0,30.0
2022-01-02 09:00:00+00:00,0.609595,2022-01-02 01:00:00-08:00,1,1,6,0.0,0.1641114,,2678.0,28.9
2022-01-02 10:00:00+00:00,0.616228,2022-01-02 02:00:00-08:00,1,2,6,0.0,0.16411176,,2632.0,28.9
2022-01-02 11:00:00+00:00,0.616485,2022-01-02 03:00:00-08:00,1,3,6,0.0,0.16411212,,2604.0,30.0
2022-01-02 12:00:00+00:00,0.635137,2022-01-02 04:00:00-08:00,1,4,6,0.0,0.16411248,,2603.0,30.9
2022-01-02 13:00:00+00:00,0.669157,2022-01-02 05:00:00-08:00,1,5,6,0.0,0.16411284,,2639.0,30.9
2022-01-02 14:00:00+00:00,0.703446,2022-01-02 06:00:00-08:00,1,6,6,0.0,0.1641132,,2715.0,32.0
2022-01-02 15:00:00+00:00,0.733548,2022-01-02 07:00:00-08:00,1,7,6,0.0,0.16411356,,2826.0,32.0
2022-01-02 16:00:00+00:00,0.76472,2022-01-02 08:00:00-08:00,1,8,6,0.000747102405630031,0.16411392,,2946.0,32.0
2022-01-02 17:00:00+00:00,0.778277,2022-01-02 09:00:00-08:00,1,9,6,0.10126322614445588,0.16411428,,3067.0,33.1
2022-01-02 18:00:00+00:00,0.772386,2022-01-02 10:00:00-08:00,1,10,6,0.2307113345801031,0.16411464,,3157.0,34.0
2022-01-02 19:00:00+00:00,0.717208,2022-01-02 11:00:00-08:00,1,11,6,0.32200439467008485,0.164115,,3181.0,37.9
2022-01-02 20:00:00+00:00,0.690983,2022-01-02 12:00:00-08:00,1,12,6,0.3636553602043701,0.16411536,,3170.0,46.0
2022-01-02 21:00:00+00:00,0.71126,2022-01-02 13:00:00-08:00,1,13,6,0.35189725288539475,0.16411572,,3144.0,48.0
2022-01-02 22:00:00+00:00,0.730033,2022-01-02 14:00:00-08:00,1,14,6,0.2877484156122548,0.16411608,,3101.0,48.0
2022-01-02 23:00:00+00:00,0.731476,2022-01-02 15:00:00-08:00,1,15,6,0.17752343441595914,0.16411644,,3080.0,48.0
2022-01-03 00:00:00+00:00,0.749747,2022-01-02 16:00:00-08:00,1,16,6,0.04232868207242322,0.1641168,,3110.0,46.9
2022-01-03 01:00:00+00:00,0.777337,2022-01-02 17:00:00-08:00,1,17,6,0.0,0.16411716,,3197.0,48.9
2022-01-03 02:00:00+00:00,0.756927,2022-01-02 18:00:00-08:00,1,18,6,0.0,0.16411752,,3257.0,48.9
2022-01-03 03:00:00+00:00,0.736766,2022-01-02 19:00:00-08:00,1,19,6,0.0,0.16411788,,3189.0,46.9
2022-01-03 04:00:00+00:00,0.705482,2022-01-02 20:00:00-08:00,1,20,6,0.0,0.16411824,,3094.0,48.0
2022-01-03 05:00:00+00:00,0.645611,2022-01-02 21:00:00-08:00,1,21,6,0.0,0.1641186,,2962.0,46.9
2022-01-03 06:00:00+00:00,0.583563,2022-01-02 22:00:00-08:00,1,22,6,0.0,0.16411896,,2777.0,48.0
2022-01-03 07:00:00+00:00,0.535251,2022-01-02 23:00:00-08:00,1,23,6,0.0,0.16411932,,2559.0,48.0
2022-01-03 08:00:00+00:00,0.483606,2022-01-03 00:00:00-08:00,1,0,0,0.0,0.16411968,,2370.0,45.0
2022-01-03 09:00:00+00:00,0.469177,2022-01-03 01:00:00-08:00,1,1,0,0.0,0.16412004,,2287.0,44.1
2022-01-03 10:00:00+00:00,0.475447,2022-01-03 02:00:00-08:00,1,2,0,0.0,0.1641204,,2246.0,46.0
2022-01-03 11:00:00+00:00,0.483918,2022-01-03 03:00:00-08:00,1,3,0,0.0,0.16412076,,2239.0,45.0
2022-01-03 12:00:00+00:00,0.500053,2022-01-03 04:00:00-08:00,1,4,0,0.0,0.16412112,,2261.0,43.0
2022-01-03 13:00:00+00:00,0.579068,2022-01-03 05:00:00-08:00,1,5,0,0.0,0.16412148,,2360.0,41.0
2022-01-03 14:00:00+00:00,0.665421,2022-01-03 06:00:00-08:00,1,6,0,0.0,0.16412184,,2582.0,41.0
2022-01-03 15:00:00+00:00,0.697394,2022-01-03 07:00:00-08:00,1,7,0,0.0,0.1641222,,2860.0,39.9
2022-01-03 16:00:00+00:00,0.696163,2022-01-03 08:00:00-08:00,1,8,0,0.0007519832813121206,0.16412256,,3053.0,41.0
2022-01-03 17:00:00+00:00,0.736765,2022-01-03 09:00:00-08:00,1,9,0,0.10161937908561822,0.16412292,,3120.0,41.0
2022-01-03 18:00:00+00:00,0.753039,2022-01-03 10:00:00-08:00,1,10,0,0.23147093038425734,0.16412328,,3175.0,39.9
2022-01-03 19:00:00+00:00,0.743226,2022-01-03 11:00:00-08:00,1,11,0,0.32318547011761467,0.16412364,,3221.0,39.9
2022-01-03 20:00:00+00:00,0.743707,2022-01-03 12:00:00-08:00,1,12,0,0.3652554442278038,0.164124,,3247.0,41.0
2022-01-03 21:00:00+00:00,0.741851,2022-01-03 13:00:00-08:00,1,13,0,0.35388395567147163,0.16412436,,3267.0,41.0
2022-01-03 22:00:00+00:00,0.735648,2022-01-03 14:00:00-08:00,1,14,0,0.29005321140180057,0.16412472,,3252.0,41.0
2022-01-03 23:00:00+00:00,0.754791,2022-01-03 15:00:00-08:00,1,15,0,0.18000778990380434,0.16412508,,3219.0,42.1
2022-01-04 00:00:00+00:00,0.790473,2022-01-03 16:00:00-08:00,1,16,0,0.04434708007557437,0.16412544,,3249.0,41.0
2022-01-04 01:00:00+00:00,0.807057,2022-01-03 17:00:00-08:00,1,17,0,0.0,0.1641258,,3365.0,41.0
2022-01-04 02:00:00+00:00,0.813157,2022-01-03 18:00:00-08:00,1,18,0,0.0,0.16412616,,3458.0,36.0
2022-01-04 03:00:00+00:00,0.777721,2022-01-03 19:00:00-08:00,1,19,0,0.0,0.16412652,,3418.0,36.0
2022-01-04 04:00:00+00:00,0.7453,2022-01-03 20:00:00-08:00,1,20,0,0.0,0.16412688,,3329.0,36.0
2022-01-04 05:00:00+00:00,0.688859,2022-01-03 21:00:00-08:00,1,21,0,0.0,0.16412724,,3189.0,36.0
2022-01-04 06:00:00+00:00,0.599137,2022-01-03 22:00:00-08:00,1,22,0,0.0,0.1641276,,2981.0,37.0
2022-01-04 07:00:00+00:00,0.543845,2022-01-03 23:00:00-08:00,1,23,0,0.0,0.16412796,,2763.0,37.0
2022-01-04 08:00:00+00:00,0.542998,2022-01-04 00:00:00-08:00,1,0,1,0.0,0.16412832,,2570.0,37.9
2022-01-04 09:00:00+00:00,0.529808,2022-01-04 01:00:00-08:00,1,1,1,0.0,0.16412868,,2452.0,37.9
2022-01-04 10:00:00+00:00,0.521671,2022-01-04 02:00:00-08:00,1,2,1,0.0,0.16412904,,2403.0,37.9
2022-01-04 11:00:00+00:00,0.538219,2022-01-04 03:00:00-08:00,1,3,1,0.0,0.1641294,,2385.0,37.9
2022-01-04 12:00:00+00:00,0.56877,2022-01-04 04:00:00-08:00,1,4,1,0.0,0.16412976,,2418.0,39.9
2022-01-04 13:00:00+00:00,0.630391,2022-01-04 05:00:00-08:00,1,5,1,0.0,0.16413012,,2530.0,39.9
2022-01-04 14:00:00+00:00,0.712658,2022-01-04 06:00:00-08:00,1,6,1,0.0,0.16413048,,2765.0,39.9
2022-01-04 15:00:00+00:00,0.771641,2022-01-04 07:00:00-08:00,1,7,1,0.0,0.16413084,,3049.0,39.0
2022-01-04 16:00:00+00:00,0.743071,2022-01-04 08:00:00-08:00,1,8,1,0.0007646727568076733,0.1641312,,3228.0,39.0
2022-01-04 17:00:00+00:00,0.745971,2022-01-04 09:00:00-08:00,1,9,1,0.10208781436710591,0.16413156,,3256.0,39.9
2022-01-04 18:00:00+00:00,0.705143,2022-01-04 10:00:00-08:00,1,10,1,0.23235468805444906,0.16413192,,3252.0,41.0
2022-01-04 19:00:00+00:00,0.702894,2022-01-04 11:00:00-08:00,1,11,1,0.3244919629298285,0.16413228,,3245.0,44.1
2022-01-04 20:00:00+00:00,0.707288,2022-01-04 12:00:00-08:00,1,12,1,0.366978740406757,0.16413264,,3227.0,43.0
2022-01-04 21:00:00+00:00,0.707478,2022-01-04 13:00:00-08:00,1,13,1,0.3559894379603528,0.164133,,3229.0,46.0
2022-01-04 22:00:00+00:00,0.69356,2022-01-04 14:00:00-08:00,1,14,1,0.29247054824543617,0.16413336,,3203.0,46.0
2022-01-04 23:00:00+00:00,0.693616,2022-01-04 15:00:00-08:00,1,15,1,0.18259681195613653,0.16413372,,3179.0,45.0
2022-01-05 00:00:00+00:00,0.723104,2022-01-04 16:00:00-08:00,1,16,1,0.04646698768630523,0.16413408,,3204.0,45.0
2022-01-05 01:00:00+00:00,0.754064,2022-01-04 17:00:00-08:00,1,17,1,0.0,0.16413444,,3298.0,45.0
2022-01-05 02:00:00+00:00,0.762527,2022-01-04 18:00:00-08:00,1,18,1,0.0,0.1641348,,3362.0,45.0
2022-01-05 03:00:00+00:00,0.712902,2022-01-04 19:00:00-08:00,1,19,1,0.0,0.16413516,,3303.0,44.1
2022-01-05 04:00:00+00:00,0.670412,2022-01-04 20:00:00-08:00,1,20,1,0.0,0.16413552,,3180.0,44.1
2022-01-05 05:00:00+00:00,0.616307,2022-01-04 21:00:00-08:00,1,21,1,0.0,0.16413588,,3043.0,45.0
2022-01-05 06:00:00+00:00,0.54266,2022-01-04 22:00:00-08:00,1,22,1,0.0,0.16413624,,2862.0,45.0
2022-01-05 07:00:00+00:00,0.490843,2022-01-04 23:00:00-08:00,1,23,1,0.0,0.1641366,,2641.0,45.0
2022-01-05 08:00:00+00:00,0.469428,2022-01-05 00:00:00-08:00,1,0,2,0.0,0.16413696,,2446.0,44.1
2022-01-05 09:00:00+00:00,0.45598,2022-01-05 01:00:00-08:00,1,1,2,0.0,0.16413732,,2287.0,43.0
2022-01-05 10:00:00+00:00,0.452163,2022-01-05 02:00:00-08:00,1,2,2,0.0,0.16413768,,2266.0,43.0
2022-01-05 11:00:00+00:00,0.45324,2022-01-05 03:00:00-08:00,1,3,2,0.0,0.16413804,,2245.0,44.1
2022-01-05 12:00:00+00:00,0.489952,2022-01-05 04:00:00-08:00,1,4,2,0.0,0.1641384,,2277.0,43.0
2022-01-05 13:00:00+00:00,0.550964,2022-01-05 05:00:00-08:00,1,5,2,0.0,0.16413876,,2386.0,43.0
2022-01-05 14:00:00+00:00,0.604243,2022-01-05 06:00:00-08:00,1,6,2,0.0,0.16413912,,2601.0,43.0
2022-01-05 15:00:00+00:00,0.662719,2022-01-05 07:00:00-08:00,1,7,2,0.0,0.16413948,,2877.0,42.1
2022-01-05 16:00:00+00:00,0.667402,2022-01-05 08:00:00-08:00,1,8,2,0.000785529702767457,0.16413984,,3063.0,42.1
2022-01-05 17:00:00+00:00,0.676474,2022-01-05 09:00:00-08:00,1,9,2,0.10266909833606991,0.1641402,,3120.0,41.0
2022-01-05 18:00:00+00:00,0.678805,2022-01-05 10:00:00-08:00,1,10,2,0.23336270383474014,0.16414056,,3150.0,43.0
2022-01-05 19:00:00+00:00,0.67252,2022-01-05 11:00:00-08:00,1,11,2,0.32592357583933185,0.16414092,,3174.0,43.0
2022-01-05 20:00:00+00:00,0.683091,2022-01-05 12:00:00-08:00,1,12,2,0.36882458808948015,0.16414128,,3198.0,44.1
2022-01-05 21:00:00+00:00,0.672398,2022-01-05 13:00:00-08:00,1,13,2,0.3582127274402424,0.16414164,,3210.0,44.1
2022-01-05 22:00:00+00:00,0.670018,2022-01-05 14:00:00-08:00,1,14,2,0.2949992412296113,0.164142,,3220.0,43.0
2022-01-05 23:00:00+00:00,0.683193,2022-01-05 15:00:00-08:00,1,15,2,0.1852893536482189,0.16414236,,3225.0,43.0
2022-01-06 00:00:00+00:00,0.713132,2022-01-05 16:00:00-08:00,1,16,2,0.04868889625792761,0.16414272,,3265.0,42.1
2022-01-06 01:00:00+00:00,0.746645,2022-01-05 17:00:00-08:00,1,17,2,0.0,0.16414308,,3358.0,41.0
2022-01-06 02:00:00+00:00,0.744316,2022-01-05 18:00:00-08:00,1,18,2,0.0,0.16414344,,3412.0,41.0
2022-01-06 03:00:00+00:00,0.710316,2022-01-05 19:00:00-08:00,1,19,2,0.0,0.1641438,,3349.0,39.9
2022-01-06 04:00:00+00:00,0.681036,2022-01-05 20:00:00-08:00,1,20,2,0.0,0.16414416,,3251.0,39.9
2022-01-06 05:00:00+00:00,0.614449,2022-01-05 21:00:00-08:00,1,21,2,0.0,0.16414452,,3111.0,41.0
2022-01-06 06:00:00+00:00,0.549654,2022-01-05 22:00:00-08:00,1,22,2,0.0,0.16414488,,2909.0,41.0
2022-01-06 07:00:00+00:00,0.490123,2022-01-05 23:00:00-08:00,1,23,2,0.0,0.16414524,,2678.0,41.0
2022-01-06 08:00:00+00:00,0.448333,2022-01-06 00:00:00-08:00,1,0,3,0.0,0.1641456,,2493.0,42.1
2022-01-06 09:00:00+00:00,0.440274,2022-01-06 01:00:00-08:00,1,1,3,0.0,0.16414596,,2372.0,42.1
2022-01-06 10:00:00+00:00,0.420177,2022-01-06 02:00:00-08:00,1,2,3,0.0,0.16414632,,2290.0,54.0
2022-01-06 11:00:00+00:00,0.418579,2022-01-06 03:00:00-08:00,1,3,3,0.0,0.16414668,,2230.0,54.0
2022-01-06 12:00:00+00:00,0.428844,2022-01-06 04:00:00-08:00,1,4,3,0.0,0.16414704,,2232.0,54.0
2022-01-06 13:00:00+00:00,0.484091,2022-01-06 05:00:00-08:00,1,5,3,0.0,0.1641474,,2312.0,54.0
2022-01-06 14:00:00+00:00,0.555492,2022-01-06 06:00:00-08:00,1,6,3,0.0,0.16414776,,2497.0,54.0
2022-01-06 15:00:00+00:00,0.595271,2022-01-06 07:00:00-08:00,1,7,3,0.0,0.16414812,,2740.0,54.0
2022-01-06 16:00:00+00:00,0.603052,2022-01-06 08:00:00-08:00,1,8,3,0.0008151178831822867,0.16414848,,2912.0,54.0
2022-01-06 17:00:00+00:00,0.609238,2022-01-06 09:00:00-08:00,1,9,3,0.1033638075054644,0.16414884,,2951.0,54.0
2022-01-06 18:00:00+00:00,0.603097,2022-01-06 10:00:00-08:00,1,10,3,0.23449502724286878,0.1641492,,2963.0,54.0
2022-01-06 19:00:00+00:00,0.592975,2022-01-06 11:00:00-08:00,1,11,3,0.3274799545443441,0.16414956,,2936.0,54.0
2022-01-06 20:00:00+00:00,0.573167,2022-01-06 12:00:00-08:00,1,12,3,0.3707922678025442,0.16414992,,2940.0,54.0
2022-01-06 21:00:00+00:00,0.574288,2022-01-06 13:00:00-08:00,1,13,3,0.36055279508888094,0.16415028,,2934.0,54.0
2022-01-06 22:00:00+00:00,0.571973,2022-01-06 14:00:00-08:00,1,14,3,0.2976380527497929,0.16415064,,2935.0,54.0
2022-01-06 23:00:00+00:00,0.583707,2022-01-06 15:00:00-08:00,1,15,3,0.18808421360097996,0.164151,,2916.0,54.0
2022-01-07 00:00:00+00:00,0.608021,2022-01-06 16:00:00-08:00,1,16,3,0.05101309034823898,0.16415136,,2934.0,54.0
2022-01-07 01:00:00+00:00,0.649146,2022-01-06 17:00:00-08:00,1,17,3,0.0,0.16415172,,3028.0,54.0
2022-01-07 02:00:00+00:00,0.618066,2022-01-06 18:00:00-08:00,1,18,3,0.0,0.16415208,,3091.0,52.0
2022-01-07 03:00:00+00:00,0.58576,2022-01-06 19:00:00-08:00,1,19,3,0.0,0.16415244,,3030.0,52.0
2022-01-07 04:00:00+00:00,0.549969,2022-01-06 20:00:00-08:00,1,20,3,0.0,0.1641528,,2937.0,52.0
2022-01-07 05:00:00+00:00,0.516339,2022-01-06 21:00:00-08:00,1,21,3,0.0,0.16415316,,2824.0,52.0
2022-01-07 06:00:00+00:00,0.470516,2022-01-06 22:00:00-08:00,1,22,3,0.0,0.16415352,,2669.0,52.0
2022-01-07 07:00:00+00:00,0.433296,2022-01-06 23:00:00-08:00,1,23,3,0.0,0.16415388,,2474.0,52.0
2022-01-07 08:00:00+00:00,0.410718,2022-01-07 00:00:00-08:00,1,0,4,0.0,0.16415424,,2310.0,50.0
2022-01-07 09:00:00+00:00,0.397733,2022-01-07 01:00:00-08:00,1,1,4,0.0,0.1641546,,2194.0,50.0
2022-01-07 10:00:00+00:00,0.394528,2022-01-07 02:00:00-08:00,1,2,4,0.0,0.16415496,,2126.0,50.0
2022-01-07 11:00:00+00:00,0.408376,2022-01-07 03:00:00-08:00,1,3,4,0.0,0.16415532,,2101.0,50.0
2022-01-07 12:00:00+00:00,0.427344,2022-01-07 04:00:00-08:00,1,4,4,0.0,0.16415568,,2121.0,50.0
2022-01-07 13:00:00+00:00,0.473015,2022-01-07 05:00:00-08:00,1,5,4,0.0,0.16415604,,2209.0,51.1
2022-01-07 14:00:00+00:00,0.53611,2022-01-07 06:00:00-08:00,1,6,4,0.0,0.1641564,,2412.0,51.1
2022-01-07 15:00:00+00:00,0.579605,2022-01-07 07:00:00-08:00,1,7,4,0.0,0.16415676,,2658.0,51.1
2022-01-07 16:00:00+00:00,0.601457,2022-01-07 08:00:00-08:00,1,8,4,0.0008542230770243228,0.16415712,,2816.0,46.9
2022-01-07 17:00:00+00:00,0.617996,2022-01-07 09:00:00-08:00,1,9,4,0.10417252525333781,0.16415748,,2860.0,46.9
2022-01-07 18:00:00+00:00,0.617643,2022-01-07 10:00:00-08:00,1,10,4,0.23575165968237832,0.16415784,,2929.0,46.9
2022-01-07 19:00:00+00:00,0.612862,2022-01-07 11:00:00-08:00,1,11,4,0.32916068686443495,0.1641582,,2967.0,45.0
2022-01-07 20:00:00+00:00,0.60714,2022-01-07 12:00:00-08:00,1,12,4,0.3728810007256704,0.16415856,,2936.0,46.0
2022-01-07 21:00:00+00:00,0.507764,2022-01-07 13:00:00-08:00,1,13,4,0.3630085548324625,0.16415892,,2895.0,45.0
2022-01-07 22:00:00+00:00,0.552439,2022-01-07 14:00:00-08:00,1,14,4,0.3003856921307083,0.16415928,,2848.0,45.0
2022-01-07 23:00:00+00:00,0.603664,2022-01-07 15:00:00-08:00,1,15,4,0.1909801349985491,0.16415964,,2814.0,44.1
2022-01-08 00:00:00+00:00,0.642261,2022-01-07 16:00:00-08:00,1,16,4,0.053439646772094875,0.16416,,2883.0,43.0
2022-01-08 01:00:00+00:00,0.678798,2022-01-07 17:00:00-08:00,1,17,4,0.0,0.16416036,,3032.0,43.0
2022-01-08 02:00:00+00:00,0.681176,2022-01-07 18:00:00-08:00,1,18,4,0.0,0.16416072,,3119.0,42.1
2022-01-08 03:00:00+00:00,0.649964,2022-01-07 19:00:00-08:00,1,19,4,0.0,0.16416108,,3062.0,42.1
2022-01-08 04:00:00+00:00,0.619486,2022-01-07 20:00:00-08:00,1,20,4,0.0,0.16416144,,2966.0,42.1
2022-01-08 05:00:00+00:00,0.5699,2022-01-07 21:00:00-08:00,1,21,4,0.0,0.1641618,,2857.0,41.0
2022-01-08 06:00:00+00:00,0.541069,2022-01-07 22:00:00-08:00,1,22,4,0.0,0.16416216,,2725.0,41.0
2022-01-08 07:00:00+00:00,0.492131,2022-01-07 23:00:00-08:00,1,23,4,0.0,0.16416252,,2561.0,39.0
2022-01-08 08:00:00+00:00,0.486392,2022-01-08 00:00:00-08:00,1,0,5,0.0,0.16416288,0.678119,2410.0,39.9
2022-01-08 09:00:00+00:00,0.469082,2022-01-08 01:00:00-08:00,1,1,5,0.0,0.16416324,0.661744,2301.0,41.0
2022-01-08 10:00:00+00:00,0.459612,2022-01-08 02:00:00-08:00,1,2,5,0.0,0.1641636,0.667333,2237.0,41.0
2022-01-08 11:00:00+00:00,0.46647,2022-01-08 03:00:00-08:00,1,3,5,0.0,0.16416396,0.6831,2205.0,41.0
2022-01-08 12:00:00+00:00,0.485495,2022-01-08 04:00:00-08:00,1,4,5,0.0,0.16416432,0.717013,2207.0,39.9
2022-01-08 13:00:00+00:00,0.514473,2022-01-08 05:00:00-08:00,1,5,5,0.0,0.16416468,0.747671,2251.0,41.0
2022-01-08 14:00:00+00:00,0.559298,2022-01-08 06:00:00-08:00,1,6,5,0.0,0.16416504,0.787813,2350.0,41.0
2022-01-08 15:00:00+00:00,0.618068,2022-01-08 07:00:00-08:00,1,7,5,0.0,0.1641654,0.829981,2492.0,41.0
2022-01-08 16:00:00+00:00,0.65814,2022-01-08 08:00:00-08:00,1,8,5,0.0009038755585338011,0.16416576,0.840125,2647.0,39.9
2022-01-08 17:00:00+00:00,0.681349,2022-01-08 09:00:00-08:00,1,9,5,0.1050958379019547,0.16416612,0.852644,2767.0,41.0
2022-01-08 18:00:00+00:00,0.657187,2022-01-08 10:00:00-08:00,1,10,5,0.23713255295527777,0.16416648,0.792315,2805.0,43.0
2022-01-08 19:00:00+00:00,0.568604,2022-01-08 11:00:00-08:00,1,11,5,0.33096530186974255,0.16416684,0.753076,2766.0,46.0
2022-01-08 20:00:00+00:00,0.468477,2022-01-08 12:00:00-08:00,1,12,5,0.3750899481686468,0.1641672,0.717898,2710.0,46.0
2022-01-08 21:00:00+00:00,0.432577,2022-01-08 13:00:00-08:00,1,13,5,0.3655788632279389,0.16416756,0.610154,2644.0,48.0
2022-01-08 22:00:00+00:00,0.451817,2022-01-08 14:00:00-08:00,1,14,5,0.30324081530269026,0.16416792,0.648675,2599.0,48.9
2022-01-08 23:00:00+00:00,0.504599,2022-01-08 15:00:00-08:00,1,15,5,0.19397580479843604,0.16416828,0.734438,2588.0,48.9
2022-01-09 00:00:00+00:00,0.565232,2022-01-08 16:00:00-08:00,1,16,5,0.055968435819258505,0.16416864,0.783644,2656.0,46.9
2022-01-09 01:00:00+00:00,0.633171,2022-01-08 17:00:00-08:00,1,17,5,0.0,0.164169,0.822352,2811.0,44.1
2022-01-09 02:00:00+00:00,0.639607,2022-01-08 18:00:00-08:00,1,18,5,0.0,0.16416936,0.81824,2968.0,42.1
2022-01-09 03:00:00+00:00,0.645026,2022-01-08 19:00:00-08:00,1,19,5,0.0,0.16416972,0.819923,2960.0,39.9
2022-01-09 04:00:00+00:00,0.619577,2022-01-08 20:00:00-08:00,1,20,5,0.0,0.16417008,0.78834,2915.0,39.0
2022-01-09 05:00:00+00:00,0.593267,2022-01-08 21:00:00-08:00,1,21,5,0.0,0.16417044,0.741449,2841.0,37.9
2022-01-09 06:00:00+00:00,0.556188,2022-01-08 22:00:00-08:00,1,22,5,0.0,0.1641708,0.706105,2725.0,36.0
2022-01-09 07:00:00+00:00,0.530756,2022-01-08 23:00:00-08:00,1,23,5,0.0,0.16417116,0.672697,2573.0,36.0
2022-01-09 08:00:00+00:00,0.510488,2022-01-09 00:00:00-08:00,1,0,6,0.0,0.16417152,0.645525,2469.0,36.0
2022-01-09 09:00:00+00:00,0.508062,2022-01-09 01:00:00-08:00,1,1,6,0.0,0.16417188,0.609595,2387.0,35.1
2022-01-09 10:00:00+00:00,0.517208,2022-01-09 02:00:00-08:00,1,2,6,0.0,0.16417224,0.616228,2343.0,35.1
2022-01-09 11:00:00+00:00,0.524458,2022-01-09 03:00:00-08:00,1,3,6,0.0,0.1641726,0.616485,2316.0,34.0
2022-01-09 12:00:00+00:00,0.552464,2022-01-09 04:00:00-08:00,1,4,6,0.0,0.16417296,0.635137,2331.0,33.1
2022-01-09 13:00:00+00:00,0.607797,2022-01-09 05:00:00-08:00,1,5,6,0.0,0.16417332,0.669157,2389.0,34.0
2022-01-09 14:00:00+00:00,0.66313,2022-01-09 06:00:00-08:00,1,6,6,0.0,0.16417368,0.703446,2493.0,33.1
2022-01-09 15:00:00+00:00,0.700218,2022-01-09 07:00:00-08:00,1,7,6,0.0,0.16417404,0.733548,2621.0,33.1
2022-01-09 16:00:00+00:00,0.727181,2022-01-09 08:00:00-08:00,1,8,6,0.0009653779913272375,0.1641744,0.76472,2775.0,30.0
2022-01-09 17:00:00+00:00,0.697612,2022-01-09 09:00:00-08:00,1,9,6,0.10613433022257013,0.16417476,0.778277,2889.0,33.1
2022-01-09 18:00:00+00:00,0.623907,2022-01-09 10:00:00-08:00,1,10,6,0.23863760768608805,0.16417512,0.772386,2893.0,37.9
2022-01-09 19:00:00+00:00,0.521549,2022-01-09 11:00:00-08:00,1,11,6,0.33289326899026467,0.16417548,0.717208,2836.0,44.1
2022-01-09 20:00:00+00:00,0.483856,2022-01-09 12:00:00-08:00,1,12,6,0.37741821105608847,0.16417584,0.690983,2744.0,48.0
2022-01-09 21:00:00+00:00,0.437021,2022-01-09 13:00:00-08:00,1,13,6,0.36826251917457087,0.1641762,0.71126,2665.0,50.0
