utc,value,local,mo,hr,dofw,pv,trend,iso,tmpf
2022-01-02 02:00:00+00:00,0.482538,2022-01-01 20:00:00-06:00,1,20,5,0.0,0.16410888,6767.374607,70.0
2022-01-02 03:00:00+00:00,0.471646,2022-01-01 21:00:00-06:00,1,21,5,0.0,0.16410924,6519.542967,66.0
2022-01-02 04:00:00+00:00,0.441909,2022-01-01 22:00:00-06:00,1,22,5,0.0,0.1641096,6219.939391,66.0
2022-01-02 05:00:00+00:00,0.409751,2022-01-01 23:00:00-06:00,1,23,5,0.0,0.16410996,5881.456222,70.0
2022-01-02 06:00:00+00:00,0.347337,2022-01-02 00:00:00-06:00,1,0,6,0.0,0.16411032,5464.790221,55.9
2022-01-02 07:00:00+00:00,0.310281,2022-01-02 01:00:00-06:00,1,1,6,0.0,0.16411068,5530.944768,50.0
2022-01-02 08:00:00+00:00,0.292819,2022-01-02 02:00:00-06:00,1,2,6,0.0,0.16411104,5554.439907,44.1
2022-01-02 09:00:00+00:00,0.286249,2022-01-02 03:00:00-06:00,1,3,6,0.0,0.1641114,5703.368451,43.0
2022-01-02 10:00:00+00:00,0.286077,2022-01-02 04:00:00-06:00,1,4,6,0.0,0.16411176,5904.415305,41.0
2022-01-02 11:00:00+00:00,0.290975,2022-01-02 05:00:00-06:00,1,5,6,0.0,0.16411212,6170.470851,39.0
2022-01-02 12:00:00+00:00,0.296104,2022-01-02 06:00:00-06:00,1,6,6,0.0,0.16411248,6639.297569,37.0
2022-01-02 13:00:00+00:00,0.324631,2022-01-02 07:00:00-06:00,1,7,6,0.0,0.16411284,7278.894008,34.0
2022-01-02 14:00:00+00:00,0.355809,2022-01-02 08:00:00-06:00,1,8,6,0.04232452562907514,0.1641132,7995.095711,32.0
2022-01-02 15:00:00+00:00,0.390618,2022-01-02 09:00:00-06:00,1,9,6,0.2461081206967924,0.16411356,8499.664095,34.0
2022-01-02 16:00:00+00:00,0.374885,2022-01-02 10:00:00-06:00,1,10,6,0.43093633368364365,0.16411392,8665.129659,37.9
2022-01-02 17:00:00+00:00,0.356731,2022-01-02 11:00:00-06:00,1,11,6,0.5664836102845718,0.16411428,8542.586241,43.0
2022-01-02 18:00:00+00:00,0.359843,2022-01-02 12:00:00-06:00,1,12,6,0.6415411046443246,0.16411464,8320.641477,46.9
2022-01-02 19:00:00+00:00,0.37402,2022-01-02 13:00:00-06:00,1,13,6,0.6505368461731905,0.164115,8043.807693,50.0
2022-01-02 20:00:00+00:00,0.365549,2022-01-02 14:00:00-06:00,1,14,6,0.5928173068514553,0.16411536,7750.638178,52.0
2022-01-02 21:00:00+00:00,0.350968,2022-01-02 15:00:00-06:00,1,15,6,0.4726246443589174,0.16411572,7461.696765,52.0
2022-01-02 22:00:00+00:00,0.368257,2022-01-02 16:00:00-06:00,1,16,6,0.2994416910129882,0.16411608,7306.00108,53.1
2022-01-02 23:00:00+00:00,0.401913,2022-01-02 17:00:00-06:00,1,17,6,0.09360612987034465,0.16411644,7381.658129,51.1
2022-01-03 00:00:00+00:00,0.457469,2022-01-02 18:00:00-06:00,1,18,6,0.0,0.1641168,7866.473301,48.9
2022-01-03 01:00:00+00:00,0.499654,2022-01-02 19:00:00-06:00,1,19,6,0.0,0.16411716,8457.908179,46.0
2022-01-03 02:00:00+00:00,0.496427,2022-01-02 20:00:00-06:00,1,20,6,0.0,0.16411752,8612.54037,45.0
2022-01-03 03:00:00+00:00,0.507492,2022-01-02 21:00:00-06:00,1,21,6,0.0,0.16411788,8670.89577,43.0
2022-01-03 04:00:00+00:00,0.491471,2022-01-02 22:00:00-06:00,1,22,6,0.0,0.16411824,8646.720438,36.0
2022-01-03 05:00:00+00:00,0.447153,2022-01-02 23:00:00-06:00,1,23,6,0.0,0.1641186,8428.019405,37.0
2022-01-03 06:00:00+00:00,0.426982,2022-01-03 00:00:00-06:00,1,0,0,0.0,0.16411896,8228.004651,35.1
2022-01-03 07:00:00+00:00,0.402086,2022-01-03 01:00:00-06:00,1,1,0,0.0,0.16411932,8047.935964,32.0
2022-01-03 08:00:00+00:00,0.406178,2022-01-03 02:00:00-06:00,1,2,0,0.0,0.16411968,8027.031445,32.0
2022-01-03 09:00:00+00:00,0.403124,2022-01-03 03:00:00-06:00,1,3,0,0.0,0.16412004,8139.641966,30.0
2022-01-03 10:00:00+00:00,0.416321,2022-01-03 04:00:00-06:00,1,4,0,0.0,0.1641204,8316.901755,32.0
2022-01-03 11:00:00+00:00,0.432284,2022-01-03 05:00:00-06:00,1,5,0,0.0,0.16412076,8600.559977,30.0
2022-01-03 12:00:00+00:00,0.474873,2022-01-03 06:00:00-06:00,1,6,0,0.0,0.16412112,9113.849955,28.9
2022-01-03 13:00:00+00:00,0.535039,2022-01-03 07:00:00-06:00,1,7,0,0.0,0.16412148,9752.549471,28.9
2022-01-03 14:00:00+00:00,0.520862,2022-01-03 08:00:00-06:00,1,8,0,0.04182659835500975,0.16412184,10213.904102,28.9
2022-01-03 15:00:00+00:00,0.446,2022-01-03 09:00:00-06:00,1,9,0,0.2457892337453373,0.1641222,9989.467633,37.0
2022-01-03 16:00:00+00:00,0.392059,2022-01-03 10:00:00-06:00,1,10,0,0.43105854383880904,0.16412256,9300.180139,45.0
2022-01-03 17:00:00+00:00,0.358979,2022-01-03 11:00:00-06:00,1,11,0,0.5671092050307598,0.16412292,8552.824614,48.0
2022-01-03 18:00:00+00:00,0.334774,2022-01-03 12:00:00-06:00,1,12,0,0.6426879527385246,0.16412328,7904.873157,52.0
2022-01-03 19:00:00+00:00,0.32077,2022-01-03 13:00:00-06:00,1,13,0,0.6521848612282471,0.16412364,7400.265685,55.0
2022-01-03 20:00:00+00:00,0.322441,2022-01-03 14:00:00-06:00,1,14,0,0.594910189270423,0.164124,6994.79448,57.0
2022-01-03 21:00:00+00:00,0.319848,2022-01-03 15:00:00-06:00,1,15,0,0.4750708173949929,0.16412436,6690.580077,59.0
2022-01-03 22:00:00+00:00,0.353907,2022-01-03 16:00:00-06:00,1,16,0,0.3021031538040485,0.16412472,6557.495238,59.0
2022-01-03 23:00:00+00:00,0.375,2022-01-03 17:00:00-06:00,1,17,0,0.09608884029525146,0.16412508,6691.23205,59.0
2022-01-04 00:00:00+00:00,0.445712,2022-01-03 18:00:00-06:00,1,18,0,0.0,0.16412544,7207.566519,53.1
2022-01-04 01:00:00+00:00,0.487552,2022-01-03 19:00:00-06:00,1,19,0,0.0,0.1641258,7856.656843,46.9
2022-01-04 02:00:00+00:00,0.468764,2022-01-03 20:00:00-06:00,1,20,0,0.0,0.16412616,8040.329907,46.9
2022-01-04 03:00:00+00:00,0.44796,2022-01-03 21:00:00-06:00,1,21,0,0.0,0.16412652,8097.916925,46.0
2022-01-04 04:00:00+00:00,0.412863,2022-01-03 22:00:00-06:00,1,22,0,0.0,0.16412688,7984.156141,46.0
2022-01-04 05:00:00+00:00,0.405083,2022-01-03 23:00:00-06:00,1,23,0,0.0,0.16412724,7649.771186,46.0
2022-01-04 06:00:00+00:00,0.375346,2022-01-04 00:00:00-06:00,1,0,1,0.0,0.1641276,7315.215904,46.0
2022-01-04 07:00:00+00:00,0.363935,2022-01-04 01:00:00-06:00,1,1,1,0.0,0.16412796,6648.940699,45.0
2022-01-04 08:00:00+00:00,0.356213,2022-01-04 02:00:00-06:00,1,2,1,0.0,0.16412832,6519.906903,46.0
2022-01-04 09:00:00+00:00,0.35944,2022-01-04 03:00:00-06:00,1,3,1,0.0,0.16412868,6506.274839,43.0
2022-01-04 10:00:00+00:00,0.360592,2022-01-04 04:00:00-06:00,1,4,1,0.0,0.16412904,6521.954598,44.1
2022-01-04 11:00:00+00:00,0.373329,2022-01-04 05:00:00-06:00,1,5,1,0.0,0.1641294,6764.905416,42.1
2022-01-04 12:00:00+00:00,0.401971,2022-01-04 06:00:00-06:00,1,6,1,0.0,0.16412976,7282.603335,39.0
2022-01-04 13:00:00+00:00,0.44698,2022-01-04 07:00:00-06:00,1,7,1,0.0,0.16413012,7977.237107,36.0
2022-01-04 14:00:00+00:00,0.453031,2022-01-04 08:00:00-06:00,1,8,1,0.041399554625360636,0.16413048,8337.010631,36.0
2022-01-04 15:00:00+00:00,0.387909,2022-01-04 09:00:00-06:00,1,9,1,0.24556942560638498,0.16413084,8188.372193,46.0
2022-01-04 16:00:00+00:00,0.362494,2022-01-04 10:00:00-06:00,1,10,1,0.431284060096642,0.1641312,7701.073461,53.1
2022-01-04 17:00:00+00:00,0.334716,2022-01-04 11:00:00-06:00,1,11,1,0.5678381163274915,0.16413156,7251.351349,57.9
2022-01-04 18:00:00+00:00,0.31518,2022-01-04 12:00:00-06:00,1,12,1,0.6439354411838071,0.16413192,6869.902493,63.0
2022-01-04 19:00:00+00:00,0.296623,2022-01-04 13:00:00-06:00,1,13,1,0.6539286512463791,0.16413228,6581.827749,66.9
2022-01-04 20:00:00+00:00,0.292877,2022-01-04 14:00:00-06:00,1,14,1,0.5970921895788917,0.16413264,6369.241282,70.0
2022-01-04 21:00:00+00:00,0.290514,2022-01-04 15:00:00-06:00,1,15,1,0.47759805924420046,0.164133,6224.608185,71.1
2022-01-04 22:00:00+00:00,0.308264,2022-01-04 16:00:00-06:00,1,16,1,0.30483665801237086,0.16413336,6182.927323,72.0
2022-01-04 23:00:00+00:00,0.336849,2022-01-04 17:00:00-06:00,1,17,1,0.09863781928112418,0.16413372,6300.332821,71.1
2022-01-05 00:00:00+00:00,0.407907,2022-01-04 18:00:00-06:00,1,18,1,0.0,0.16413408,6585.362872,64.9
2022-01-05 01:00:00+00:00,0.420009,2022-01-04 19:00:00-06:00,1,19,1,0.0,0.16413444,7035.696757,57.0
2022-01-05 02:00:00+00:00,0.422718,2022-01-04 20:00:00-06:00,1,20,1,0.0,0.1641348,7017.159651,55.0
2022-01-05 03:00:00+00:00,0.422891,2022-01-04 21:00:00-06:00,1,21,1,0.0,0.16413516,6921.761586,52.0
2022-01-05 04:00:00+00:00,0.391136,2022-01-04 22:00:00-06:00,1,22,1,0.0,0.16413552,6700.295374,51.1
2022-01-05 05:00:00+00:00,0.363128,2022-01-04 23:00:00-06:00,1,23,1,0.0,0.16413588,6370.429041,46.9
2022-01-05 06:00:00+00:00,0.33973,2022-01-05 00:00:00-06:00,1,0,2,0.0,0.16413624,6036.734789,48.0
2022-01-05 07:00:00+00:00,0.317485,2022-01-05 01:00:00-06:00,1,1,2,0.0,0.1641366,5629.611572,46.0
2022-01-05 08:00:00+00:00,0.314488,2022-01-05 02:00:00-06:00,1,2,2,0.0,0.16413696,5529.453314,46.0
2022-01-05 09:00:00+00:00,0.315526,2022-01-05 03:00:00-06:00,1,3,2,0.0,0.16413732,5520.915658,45.0
2022-01-05 10:00:00+00:00,0.314949,2022-01-05 04:00:00-06:00,1,4,2,0.0,0.16413768,5616.697102,42.1
2022-01-05 11:00:00+00:00,0.33414,2022-01-05 05:00:00-06:00,1,5,2,0.0,0.16413804,5837.750844,42.1
2022-01-05 12:00:00+00:00,0.368776,2022-01-05 06:00:00-06:00,1,6,2,0.0,0.1641384,6303.635149,42.1
2022-01-05 13:00:00+00:00,0.415917,2022-01-05 07:00:00-06:00,1,7,2,0.0,0.16413876,6991.353594,41.0
2022-01-05 14:00:00+00:00,0.426291,2022-01-05 08:00:00-06:00,1,8,2,0.04104348362535488,0.16413912,7398.488802,37.9
2022-01-05 15:00:00+00:00,0.357711,2022-01-05 09:00:00-06:00,1,9,2,0.24544937891208912,0.16413948,7233.211273,51.1
2022-01-05 16:00:00+00:00,0.33074,2022-01-05 10:00:00-06:00,1,10,2,0.43161319300101353,0.16413984,6860.726539,61.0
2022-01-05 17:00:00+00:00,0.304345,2022-01-05 11:00:00-06:00,1,11,2,0.5686702096762857,0.1641402,6515.575078,68.0
2022-01-05 18:00:00+00:00,0.290341,2022-01-05 12:00:00-06:00,1,12,2,0.6452829819531803,0.16414056,6264.151838,73.9
2022-01-05 19:00:00+00:00,0.302271,2022-01-05 13:00:00-06:00,1,13,2,0.6557672032230075,0.16414092,6125.955384,75.0
2022-01-05 20:00:00+00:00,0.299331,2022-01-05 14:00:00-06:00,1,14,2,0.5993619317696989,0.16414128,6114.351332,79.0
2022-01-05 21:00:00+00:00,0.302732,2022-01-05 15:00:00-06:00,1,15,2,0.4802047277851734,0.16414164,6137.780971,80.1
2022-01-05 22:00:00+00:00,0.335177,2022-01-05 16:00:00-06:00,1,16,2,0.3076404521212159,0.164142,6239.230027,81.0
2022-01-05 23:00:00+00:00,0.388601,2022-01-05 17:00:00-06:00,1,17,2,0.10125168091507736,0.16414236,6336.686694,79.0
2022-01-06 00:00:00+00:00,0.415284,2022-01-05 18:00:00-06:00,1,18,2,0.0,0.16414272,6507.529714,71.1
2022-01-06 01:00:00+00:00,0.41903,2022-01-05 19:00:00-06:00,1,19,2,0.0,0.16414308,6813.7922,62.1
2022-01-06 02:00:00+00:00,0.419721,2022-01-05 20:00:00-06:00,1,20,2,0.0,0.16414344,6760.306711,55.9
2022-01-06 03:00:00+00:00,0.42024,2022-01-05 21:00:00-06:00,1,21,2,0.0,0.1641438,6613.585204,55.0
2022-01-06 04:00:00+00:00,0.386584,2022-01-05 22:00:00-06:00,1,22,2,0.0,0.16414416,6355.01489,60.1
2022-01-06 05:00:00+00:00,0.352697,2022-01-05 23:00:00-06:00,1,23,2,0.0,0.16414452,5974.942526,55.9
2022-01-06 06:00:00+00:00,0.319905,2022-01-06 00:00:00-06:00,1,0,3,0.0,0.16414488,5622.861771,52.0
2022-01-06 07:00:00+00:00,0.296277,2022-01-06 01:00:00-06:00,1,1,3,0.0,0.16414524,5515.499179,50.0
2022-01-06 08:00:00+00:00,0.287229,2022-01-06 02:00:00-06:00,1,2,3,0.0,0.1641456,5434.507611,51.1
2022-01-06 09:00:00+00:00,0.268903,2022-01-06 03:00:00-06:00,1,3,3,0.0,0.16414596,5499.709518,46.9
2022-01-06 10:00:00+00:00,0.266482,2022-01-06 04:00:00-06:00,1,4,3,0.0,0.16414632,5620.681007,46.0
2022-01-06 11:00:00+00:00,0.308725,2022-01-06 05:00:00-06:00,1,5,3,0.0,0.16414668,5883.405507,44.1
2022-01-06 12:00:00+00:00,0.355636,2022-01-06 06:00:00-06:00,1,6,3,0.0,0.16414704,6418.90734,39.9
2022-01-06 13:00:00+00:00,0.404968,2022-01-06 07:00:00-06:00,1,7,3,0.0,0.1641474,7248.734035,42.1
2022-01-06 14:00:00+00:00,0.40831,2022-01-06 08:00:00-06:00,1,8,3,0.04075853762973891,0.16414776,7703.260044,43.0
2022-01-06 15:00:00+00:00,0.35944,2022-01-06 09:00:00-06:00,1,9,3,0.24542973196783505,0.16414812,7582.759055,53.1
2022-01-06 16:00:00+00:00,0.324746,2022-01-06 10:00:00-06:00,1,10,3,0.43204619558732404,0.16414848,7236.161857,61.0
2022-01-06 17:00:00+00:00,0.302616,2022-01-06 11:00:00-06:00,1,11,3,0.5696052884199038,0.16414884,6900.161651,66.9
2022-01-06 18:00:00+00:00,0.296277,2022-01-06 12:00:00-06:00,1,12,3,0.6467299243442257,0.1641492,6672.776016,70.0
2022-01-06 19:00:00+00:00,0.300484,2022-01-06 13:00:00-06:00,1,13,3,0.6576994442974438,0.16414956,6479.765888,71.1
2022-01-06 20:00:00+00:00,0.290456,2022-01-06 14:00:00-06:00,1,14,3,0.6017179856629932,0.16414992,6370.535724,72.0
2022-01-06 21:00:00+00:00,0.288151,2022-01-06 15:00:00-06:00,1,15,3,0.4828891345647928,0.16415028,6325.224015,70.0
2022-01-06 22:00:00+00:00,0.311722,2022-01-06 16:00:00-06:00,1,16,3,0.3105127457947243,0.16415064,6343.781372,64.9
2022-01-06 23:00:00+00:00,0.346531,2022-01-06 17:00:00-06:00,1,17,3,0.1039289684777274,0.164151,6547.939826,60.1
2022-01-07 00:00:00+00:00,0.412978,2022-01-06 18:00:00-06:00,1,18,3,0.0,0.16415136,7105.216565,55.9
2022-01-07 01:00:00+00:00,0.417762,2022-01-06 19:00:00-06:00,1,19,3,0.0,0.16415172,7791.551106,53.1
2022-01-07 02:00:00+00:00,0.425254,2022-01-06 20:00:00-06:00,1,20,3,0.0,0.16415208,7983.74126,51.1
2022-01-07 03:00:00+00:00,0.425254,2022-01-06 21:00:00-06:00,1,21,3,0.0,0.16415244,8111.614026,48.9
2022-01-07 04:00:00+00:00,0.417185,2022-01-06 22:00:00-06:00,1,22,3,0.0,0.1641528,8101.231362,46.0
2022-01-07 05:00:00+00:00,0.388831,2022-01-06 23:00:00-06:00,1,23,3,0.0,0.16415316,7911.905746,44.1
2022-01-07 06:00:00+00:00,0.373905,2022-01-07 00:00:00-06:00,1,0,4,0.0,0.16415352,7737.661298,42.1
2022-01-07 07:00:00+00:00,0.35748,2022-01-07 01:00:00-06:00,1,1,4,0.0,0.16415388,8042.624576,39.9
2022-01-07 08:00:00+00:00,0.341229,2022-01-07 02:00:00-06:00,1,2,4,0.0,0.16415424,7896.32564,37.9
2022-01-07 09:00:00+00:00,0.337252,2022-01-07 03:00:00-06:00,1,3,4,0.0,0.1641546,7971.749765,37.0
2022-01-07 10:00:00+00:00,0.347165,2022-01-07 04:00:00-06:00,1,4,4,0.0,0.16415496,8062.875768,36.0
2022-01-07 11:00:00+00:00,0.39592,2022-01-07 05:00:00-06:00,1,5,4,0.0,0.16415532,8247.962672,37.0
2022-01-07 12:00:00+00:00,0.434935,2022-01-07 06:00:00-06:00,1,6,4,0.0,0.16415568,8650.267917,37.0
2022-01-07 13:00:00+00:00,0.434474,2022-01-07 07:00:00-06:00,1,7,4,0.0,0.16415604,9168.343637,37.9
2022-01-07 14:00:00+00:00,0.483633,2022-01-07 08:00:00-06:00,1,8,4,0.04054493974979393,0.1641564,9456.324694,39.0
2022-01-07 15:00:00+00:00,0.46669,2022-01-07 09:00:00-06:00,1,9,4,0.24551107797731123,0.16415676,9499.689156,39.9
2022-01-07 16:00:00+00:00,0.462425,2022-01-07 10:00:00-06:00,1,10,4,0.43258326263371855,0.16415712,9501.538108,41.0
2022-01-07 17:00:00+00:00,0.443638,2022-01-07 11:00:00-06:00,1,11,4,0.5706430932935145,0.16415748,9377.229376,43.0
2022-01-07 18:00:00+00:00,0.4358,2022-01-07 12:00:00-06:00,1,12,4,0.6482755548648431,0.16415784,9265.963521,44.1
2022-01-07 19:00:00+00:00,0.435339,2022-01-07 13:00:00-06:00,1,13,4,0.6597242419577075,0.1641582,9124.584386,45.0
2022-01-07 20:00:00+00:00,0.445136,2022-01-07 14:00:00-06:00,1,14,4,0.6041588673793764,0.16415856,9036.467865,46.0
2022-01-07 21:00:00+00:00,0.440756,2022-01-07 15:00:00-06:00,1,15,4,0.48564954544658934,0.16415892,8892.890664,46.0
2022-01-07 22:00:00+00:00,0.45672,2022-01-07 16:00:00-06:00,1,16,4,0.313451710548175,0.16415928,8903.968517,46.9
2022-01-07 23:00:00+00:00,0.465768,2022-01-07 17:00:00-06:00,1,17,4,0.10666815675883942,0.16415964,9008.7309,46.9
2022-01-08 00:00:00+00:00,0.486515,2022-01-07 18:00:00-06:00,1,18,4,0.0,0.16416,9272.049302,46.0
2022-01-08 01:00:00+00:00,0.490203,2022-01-07 19:00:00-06:00,1,19,4,0.0,0.16416036,9487.81851,45.0
2022-01-08 02:00:00+00:00,0.456374,2022-01-07 20:00:00-06:00,1,20,4,0.0,0.16416072,9367.604823,44.1
2022-01-08 03:00:00+00:00,0.456835,2022-01-07 21:00:00-06:00,1,21,4,0.0,0.16416108,9139.644214,43.0
2022-01-08 04:00:00+00:00,0.393672,2022-01-07 22:00:00-06:00,1,22,4,0.0,0.16416144,8882.116692,43.0
2022-01-08 05:00:00+00:00,0.373905,2022-01-07 23:00:00-06:00,1,23,4,0.0,0.1641618,8527.651842,44.1
2022-01-08 06:00:00+00:00,0.390445,2022-01-08 00:00:00-06:00,1,0,5,0.0,0.16416216,8208.604535,44.1
2022-01-08 07:00:00+00:00,0.361918,2022-01-08 01:00:00-06:00,1,1,5,0.0,0.16416252,7187.517392,45.0
2022-01-08 08:00:00+00:00,0.353446,2022-01-08 02:00:00-06:00,1,2,5,0.0,0.16416288,6944.302647,46.0
2022-01-08 09:00:00+00:00,0.335177,2022-01-08 03:00:00-06:00,1,3,5,0.0,0.16416324,6745.663209,46.9
2022-01-08 10:00:00+00:00,0.313624,2022-01-08 04:00:00-06:00,1,4,5,0.0,0.1641636,6669.413717,48.9
2022-01-08 11:00:00+00:00,0.3074,2022-01-08 05:00:00-06:00,1,5,5,0.0,0.16416396,6621.475762,50.0
2022-01-08 12:00:00+00:00,0.307515,2022-01-08 06:00:00-06:00,1,6,5,0.0,0.16416432,6689.09045,50.0
2022-01-08 13:00:00+00:00,0.313163,2022-01-08 07:00:00-06:00,1,7,5,0.0,0.16416468,6863.091956,51.1
2022-01-08 14:00:00+00:00,0.34169,2022-01-08 08:00:00-06:00,1,8,5,0.040402990789127846,0.16416504,6988.294037,52.0
2022-01-08 15:00:00+00:00,0.366355,2022-01-08 09:00:00-06:00,1,9,5,0.24569396418462547,0.1641654,7081.806898,52.0
2022-01-08 16:00:00+00:00,0.384855,2022-01-08 10:00:00-06:00,1,10,5,0.4332245298885404,0.16416576,7272.633045,54.0
2022-01-08 17:00:00+00:00,0.394882,2022-01-08 11:00:00-06:00,1,11,5,0.5717833019751923,0.16416612,7304.459133,55.9
2022-01-08 18:00:00+00:00,0.389523,2022-01-08 12:00:00-06:00,1,12,5,0.6499190971346506,0.16416648,7154.640616,57.0
2022-01-08 19:00:00+00:00,0.373674,2022-01-08 13:00:00-06:00,1,13,5,0.6618404042741765,0.16416684,6957.992756,59.0
2022-01-08 20:00:00+00:00,0.363416,2022-01-08 14:00:00-06:00,1,14,5,0.6066830398527115,0.1641672,6756.652107,60.1
2022-01-08 21:00:00+00:00,0.371369,2022-01-08 15:00:00-06:00,1,15,5,0.48848418130942495,0.16416756,6566.302188,61.0
2022-01-08 22:00:00+00:00,0.377075,2022-01-08 16:00:00-06:00,1,16,5,0.31645548049287425,0.16416792,6471.509618,62.1
2022-01-08 23:00:00+00:00,0.397476,2022-01-08 17:00:00-06:00,1,17,5,0.10946765460631667,0.16416828,6484.065637,61.0
2022-01-09 00:00:00+00:00,0.367335,2022-01-08 18:00:00-06:00,1,18,5,0.0,0.16416864,6635.1399,61.0
2022-01-09 01:00:00+00:00,0.414246,2022-01-08 19:00:00-06:00,1,19,5,0.0,0.164169,6765.020389,60.1
2022-01-09 02:00:00+00:00,0.400415,2022-01-08 20:00:00-06:00,1,20,5,0.0,0.16416936,6689.006965,60.1
2022-01-09 03:00:00+00:00,0.404276,2022-01-08 21:00:00-06:00,1,21,5,0.0,0.16416972,6502.382674,60.1
2022-01-09 04:00:00+00:00,0.379438,2022-01-08 22:00:00-06:00,1,22,5,0.0,0.16417008,6314.984566,60.1
2022-01-09 05:00:00+00:00,0.352121,2022-01-08 23:00:00-06:00,1,23,5,0.0,0.16417044,6050.993973,59.0
2022-01-09 06:00:00+00:00,0.329357,2022-01-09 00:00:00-06:00,1,0,6,0.0,0.1641708,5748.062193,55.9
2022-01-09 07:00:00+00:00,0.298006,2022-01-09 01:00:00-06:00,1,1,6,0.0,0.16417116,5509.118884,57.0
2022-01-09 08:00:00+00:00,0.286019,2022-01-09 02:00:00-06:00,1,2,6,0.0,0.16417152,5326.405218,57.9
2022-01-09 09:00:00+00:00,0.278008,2022-01-09 03:00:00-06:00,1,3,6,0.0,0.16417188,5211.250458,57.9
2022-01-09 10:00:00+00:00,0.288382,2022-01-09 04:00:00-06:00,1,4,6,0.0,0.16417224,5187.241026,57.9
2022-01-09 11:00:00+00:00,0.274205,2022-01-09 05:00:00-06:00,1,5,6,0.0,0.1641726,5201.747798,57.9
2022-01-09 12:00:00+00:00,0.279219,2022-01-09 06:00:00-06:00,1,6,6,0.0,0.16417296,5286.211454,59.0
2022-01-09 13:00:00+00:00,0.29328,2022-01-09 07:00:00-06:00,1,7,6,0.0,0.16417332,5449.117593,60.1
2022-01-09 14:00:00+00:00,0.30544,2022-01-09 08:00:00-06:00,1,8,6,0.04033307508500686,0.16417368,5675.171695,62.1
2022-01-09 15:00:00+00:00,0.296911,2022-01-09 09:00:00-06:00,1,9,6,0.24597889093205347,0.16417404,5824.732774,64.0
2022-01-09 16:00:00+00:00,0.303711,2022-01-09 10:00:00-06:00,1,10,6,0.4339700732756971,0.1641744,5943.862895,68.0
2022-01-09 17:00:00+00:00,0.279219,2022-01-09 11:00:00-06:00,1,11,6,0.5730255286378928,0.16417476,5939.363992,72.0
2022-01-09 18:00:00+00:00,0.27311,2022-01-09 12:00:00-06:00,1,12,6,0.6516597118046011,0.16417512,5953.188526,73.9
2022-01-09 19:00:00+00:00,0.309417,2022-01-09 13:00:00-06:00,1,13,6,0.6640466801648922,0.16417548,5971.619846,72.0
2022-01-09 20:00:00+00:00,0.311261,2022-01-09 14:00:00-06:00,1,14,6,0.6092889133855661,0.16417584,5911.632633,71.1
2022-01-09 21:00:00+00:00,0.336618,2022-01-09 15:00:00-06:00,1,15,6,0.4913912187995602,0.1641762,5903.748868,70.0
