utc,value,local,mo,hr,dofw,pv,trend,lag,tmpf
2022-01-03 22:00:00+00:00,-0.295319,2022-01-03 12:00:00-10:00,1,12,0,0.770145758796326,0.16412472,,75.0
2022-01-03 23:00:00+00:00,0.193192,2022-01-03 13:00:00-10:00,1,13,0,0.7788504936008681,0.16412508,,75.0
2022-01-04 00:00:00+00:00,0.109787,2022-01-03 14:00:00-10:00,1,14,0,0.7160906927808738,0.16412544,,77.0
2022-01-04 01:00:00+00:00,0.092766,2022-01-03 15:00:00-10:00,1,15,0,0.5863535938915484,0.1641258,,77.0
2022-01-04 02:00:00+00:00,0.106383,2022-01-03 16:00:00-10:00,1,16,0,0.3992862446762643,0.16412616,,77.0
2022-01-04 03:00:00+00:00,0.522553,2022-01-03 17:00:00-10:00,1,17,0,0.17188334443241093,0.16412652,,77.0
2022-01-04 04:00:00+00:00,0.777873,2022-01-03 18:00:00-10:00,1,18,0,0.0,0.16412688,,75.0
2022-01-04 05:00:00+00:00,0.860426,2022-01-03 19:00:00-10:00,1,19,0,0.0,0.16412724,,72.0
2022-01-04 06:00:00+00:00,0.787234,2022-01-03 20:00:00-10:00,1,20,0,0.0,0.1641276,,71.1
2022-01-04 07:00:00+00:00,0.75234,2022-01-03 21:00:00-10:00,1,21,0,0.0,0.16412796,,71.1
2022-01-04 08:00:00+00:00,0.674043,2022-01-03 22:00:00-10:00,1,22,0,0.0,0.16412832,,70.0
2022-01-04 09:00:00+00:00,0.58383,2022-01-03 23:00:00-10:00,1,23,0,0.0,0.16412868,,70.0
2022-01-04 10:00:00+00:00,0.519149,2022-01-04 00:00:00-10:00,1,0,1,0.0,0.16412904,,70.0
2022-01-04 11:00:00+00:00,0.475745,2022-01-04 01:00:00-10:00,1,1,1,0.0,0.1641294,,70.0
2022-01-04 12:00:00+00:00,0.426383,2022-01-04 02:00:00-10:00,1,2,1,0.0,0.16412976,,71.1
2022-01-04 13:00:00+00:00,0.410213,2022-01-04 03:00:00-10:00,1,3,1,0.0,0.16413012,,71.1
2022-01-04 14:00:00+00:00,0.415319,2022-01-04 04:00:00-10:00,1,4,1,0.0,0.16413048,,70.0
2022-01-04 15:00:00+00:00,0.445957,2022-01-04 05:00:00-10:00,1,5,1,0.0,0.16413084,,69.1
2022-01-04 16:00:00+00:00,0.468085,2022-01-04 06:00:00-10:00,1,6,1,0.0,0.1641312,,70.0
2022-01-04 17:00:00+00:00,0.49617,2022-01-04 07:00:00-10:00,1,7,1,0.0,0.16413156,,71.1
2022-01-04 18:00:00+00:00,0.375319,2022-01-04 08:00:00-10:00,1,8,1,0.11420394709353249,0.16413192,,72.0
2022-01-04 19:00:00+00:00,0.0153193,2022-01-04 09:00:00-10:00,1,9,1,0.34657195086781967,0.16413228,,75.0
2022-01-04 20:00:00+00:00,0.52,2022-01-04 10:00:00-10:00,1,10,1,0.5458652857629084,0.16413264,,75.0
2022-01-04 21:00:00+00:00,0.137021,2022-01-04 11:00:00-10:00,1,11,1,0.6910849583059793,0.164133,,75.9
2022-01-04 22:00:00+00:00,0.254468,2022-01-04 12:00:00-10:00,1,12,1,0.7711905408497968,0.16413336,,78.1
2022-01-04 23:00:00+00:00,0.148936,2022-01-04 13:00:00-10:00,1,13,1,0.7804256560018934,0.16413372,,79.0
2022-01-05 00:00:00+00:00,0.347234,2022-01-04 14:00:00-10:00,1,14,1,0.718134611574001,0.16413408,,79.0
2022-01-05 01:00:00+00:00,0.278298,2022-01-04 15:00:00-10:00,1,15,1,0.5887697435237138,0.16413444,,79.0
2022-01-05 02:00:00+00:00,0.417872,2022-01-04 16:00:00-10:00,1,16,1,0.40194127183449607,0.1641348,,80.1
2022-01-05 03:00:00+00:00,0.657872,2022-01-04 17:00:00-10:00,1,17,1,0.1745353355001509,0.16413516,,78.1
2022-01-05 04:00:00+00:00,0.753191,2022-01-04 18:00:00-10:00,1,18,1,0.0,0.16413552,,75.9
2022-01-05 05:00:00+00:00,0.828085,2022-01-04 19:00:00-10:00,1,19,1,0.0,0.16413588,,77.0
2022-01-05 06:00:00+00:00,0.774468,2022-01-04 20:00:00-10:00,1,20,1,0.0,0.16413624,,77.0
2022-01-05 07:00:00+00:00,0.742979,2022-01-04 21:00:00-10:00,1,21,1,0.0,0.1641366,,75.9
2022-01-05 08:00:00+00:00,0.685957,2022-01-04 22:00:00-10:00,1,22,1,0.0,0.16413696,,75.0
2022-01-05 09:00:00+00:00,0.595745,2022-01-04 23:00:00-10:00,1,23,1,0.0,0.16413732,,73.9
2022-01-05 10:00:00+00:00,0.531064,2022-01-05 00:00:00-10:00,1,0,2,0.0,0.16413768,,72.0
2022-01-05 11:00:00+00:00,0.47234,2022-01-05 01:00:00-10:00,1,1,2,0.0,0.16413804,,73.0
2022-01-05 12:00:00+00:00,0.428085,2022-01-05 02:00:00-10:00,1,2,2,0.0,0.1641384,,71.1
2022-01-05 13:00:00+00:00,0.414468,2022-01-05 03:00:00-10:00,1,3,2,0.0,0.16413876,,72.0
2022-01-05 14:00:00+00:00,0.419574,2022-01-05 04:00:00-10:00,1,4,2,0.0,0.16413912,,71.1
2022-01-05 15:00:00+00:00,0.448511,2022-01-05 05:00:00-10:00,1,5,2,0.0,0.16413948,,70.0
2022-01-05 16:00:00+00:00,0.467234,2022-01-05 06:00:00-10:00,1,6,2,0.0,0.16413984,,69.1
2022-01-05 17:00:00+00:00,0.497872,2022-01-05 07:00:00-10:00,1,7,2,0.0,0.1641402,,68.0
2022-01-05 18:00:00+00:00,0.417021,2022-01-05 08:00:00-10:00,1,8,2,0.11343750084344281,0.16414056,,70.0
2022-01-05 19:00:00+00:00,0.11149,2022-01-05 09:00:00-10:00,1,9,2,0.34613021797944254,0.16414092,,75.0
2022-01-05 20:00:00+00:00,-0.126808,2022-01-05 10:00:00-10:00,1,10,2,0.5459055378380531,0.16414128,,79.0
2022-01-05 21:00:00+00:00,-0.249362,2022-01-05 11:00:00-10:00,1,11,2,0.6916630941550279,0.16414164,,79.0
2022-01-05 22:00:00+00:00,-0.341277,2022-01-05 12:00:00-10:00,1,12,2,0.7723195685003582,0.164142,,80.1
2022-01-05 23:00:00+00:00,-0.33617,2022-01-05 13:00:00-10:00,1,13,2,0.7820793326383834,0.16414236,,81.0
2022-01-06 00:00:00+00:00,-0.325106,2022-01-05 14:00:00-10:00,1,14,2,0.7202495503283058,0.16414272,,81.0
2022-01-06 01:00:00+00:00,-0.154042,2022-01-05 15:00:00-10:00,1,15,2,0.5912481388063258,0.16414308,,82.0
2022-01-06 02:00:00+00:00,0.101277,2022-01-05 16:00:00-10:00,1,16,2,0.404649019577233,0.16414344,,82.0
2022-01-06 03:00:00+00:00,0.491064,2022-01-05 17:00:00-10:00,1,17,2,0.17723151057272332,0.1641438,,79.0
2022-01-06 04:00:00+00:00,0.80766,2022-01-05 18:00:00-10:00,1,18,2,0.0004268547278019654,0.16414416,,77.0
2022-01-06 05:00:00+00:00,0.830638,2022-01-05 19:00:00-10:00,1,19,2,0.0,0.16414452,,75.9
2022-01-06 06:00:00+00:00,0.789787,2022-01-05 20:00:00-10:00,1,20,2,0.0,0.16414488,,73.9
2022-01-06 07:00:00+00:00,0.731915,2022-01-05 21:00:00-10:00,1,21,2,0.0,0.16414524,,73.9
2022-01-06 08:00:00+00:00,0.654468,2022-01-05 22:00:00-10:00,1,22,2,0.0,0.1641456,,72.0
2022-01-06 09:00:00+00:00,0.541277,2022-01-05 23:00:00-10:00,1,23,2,0.0,0.16414596,,70.0
2022-01-06 10:00:00+00:00,0.500426,2022-01-06 00:00:00-10:00,1,0,3,0.0,0.16414632,,70.0
2022-01-06 11:00:00+00:00,0.451915,2022-01-06 01:00:00-10:00,1,1,3,0.0,0.16414668,,69.1
2022-01-06 12:00:00+00:00,0.415319,2022-01-06 02:00:00-10:00,1,2,3,0.0,0.16414704,,68.0
2022-01-06 13:00:00+00:00,0.400851,2022-01-06 03:00:00-10:00,1,3,3,0.0,0.1641474,,66.0
2022-01-06 14:00:00+00:00,0.40766,2022-01-06 04:00:00-10:00,1,4,3,0.0,0.16414776,,66.0
2022-01-06 15:00:00+00:00,0.425532,2022-01-06 05:00:00-10:00,1,5,3,0.0,0.16414812,,66.0
2022-01-06 16:00:00+00:00,0.448511,2022-01-06 06:00:00-10:00,1,6,3,0.0,0.16414848,,66.0
2022-01-06 17:00:00+00:00,0.469787,2022-01-06 07:00:00-10:00,1,7,3,0.0,0.16414884,,64.9
2022-01-06 18:00:00+00:00,0.364255,2022-01-06 08:00:00-10:00,1,8,3,0.11274735509052944,0.1641492,,69.1
2022-01-06 19:00:00+00:00,0.0425533,2022-01-06 09:00:00-10:00,1,9,3,0.3457755714112639,0.16414956,,77.0
2022-01-06 20:00:00+00:00,-0.184681,2022-01-06 10:00:00-10:00,1,10,3,0.5460348387125263,0.16414992,,79.0
2022-01-06 21:00:00+00:00,-0.261276,2022-01-06 11:00:00-10:00,1,11,3,0.6923288576346787,0.16415028,,81.0
2022-01-06 22:00:00+00:00,-0.436596,2022-01-06 12:00:00-10:00,1,12,3,0.7735321988591117,0.16415064,,81.0
2022-01-06 23:00:00+00:00,-0.338723,2022-01-06 13:00:00-10:00,1,13,3,0.7838104284349836,0.164151,,80.1
2022-01-07 00:00:00+00:00,-0.252766,2022-01-06 14:00:00-10:00,1,14,3,0.7224340289285656,0.16415136,,79.0
2022-01-07 01:00:00+00:00,-0.0842552,2022-01-06 15:00:00-10:00,1,15,3,0.5937870132317467,0.16415172,,79.0
2022-01-07 02:00:00+00:00,0.170213,2022-01-06 16:00:00-10:00,1,16,3,0.4074075706425093,0.16415208,,81.0
2022-01-07 03:00:00+00:00,0.491915,2022-01-06 17:00:00-10:00,1,17,3,0.17997003645922593,0.16415244,,79.0
2022-01-07 04:00:00+00:00,0.763404,2022-01-06 18:00:00-10:00,1,18,3,0.0005526114778689382,0.1641528,,77.0
2022-01-07 05:00:00+00:00,0.828085,2022-01-06 19:00:00-10:00,1,19,3,0.0,0.16415316,,77.0
2022-01-07 06:00:00+00:00,0.77617,2022-01-06 20:00:00-10:00,1,20,3,0.0,0.16415352,,75.9
2022-01-07 07:00:00+00:00,0.693617,2022-01-06 21:00:00-10:00,1,21,3,0.0,0.16415388,,73.9
2022-01-07 08:00:00+00:00,0.644255,2022-01-06 22:00:00-10:00,1,22,3,0.0,0.16415424,,73.0
2022-01-07 09:00:00+00:00,0.554043,2022-01-06 23:00:00-10:00,1,23,3,0.0,0.1641546,,72.0
2022-01-07 10:00:00+00:00,0.49617,2022-01-07 00:00:00-10:00,1,0,4,0.0,0.16415496,,71.1
2022-01-07 11:00:00+00:00,0.44,2022-01-07 01:00:00-10:00,1,1,4,0.0,0.16415532,,70.0
2022-01-07 12:00:00+00:00,0.41617,2022-01-07 02:00:00-10:00,1,2,4,0.0,0.16415568,,69.1
2022-01-07 13:00:00+00:00,0.394894,2022-01-07 03:00:00-10:00,1,3,4,0.0,0.16415604,,68.0
2022-01-07 14:00:00+00:00,0.417021,2022-01-07 04:00:00-10:00,1,4,4,0.0,0.1641564,,66.9
2022-01-07 15:00:00+00:00,0.430638,2022-01-07 05:00:00-10:00,1,5,4,0.0,0.16415676,,66.9
2022-01-07 16:00:00+00:00,0.452766,2022-01-07 06:00:00-10:00,1,6,4,0.0,0.16415712,,66.9
2022-01-07 17:00:00+00:00,0.488511,2022-01-07 07:00:00-10:00,1,7,4,0.0,0.16415748,,66.0
2022-01-07 18:00:00+00:00,0.408511,2022-01-07 08:00:00-10:00,1,8,4,0.1121342992898388,0.16415784,,68.0
2022-01-07 19:00:00+00:00,0.164255,2022-01-07 09:00:00-10:00,1,9,4,0.3455087121289249,0.1641582,,73.9
2022-01-07 20:00:00+00:00,-0.0621276,2022-01-07 10:00:00-10:00,1,10,4,0.5462534550062935,0.16415856,,79.0
2022-01-07 21:00:00+00:00,-0.235745,2022-01-07 11:00:00-10:00,1,11,4,0.693082030092143,0.16415892,,80.1
2022-01-07 22:00:00+00:00,-0.377872,2022-01-07 12:00:00-10:00,1,12,4,0.7748277278469134,0.16415928,,81.0
2022-01-07 23:00:00+00:00,-0.428936,2022-01-07 13:00:00-10:00,1,13,4,0.7856177907165215,0.16415964,,82.0
2022-01-08 00:00:00+00:00,-0.378723,2022-01-07 14:00:00-10:00,1,14,4,0.7246865161772418,0.16416,0.563404,82.9
2022-01-08 01:00:00+00:00,-0.211064,2022-01-07 15:00:00-10:00,1,15,4,0.5963845580407221,0.16416036,0.60766,80.1
2022-01-08 02:00:00+00:00,0.0731916,2022-01-07 16:00:00-10:00,1,16,4,0.4102149752805409,0.16416072,0.542128,82.0
2022-01-08 03:00:00+00:00,0.468936,2022-01-07 17:00:00-10:00,1,17,4,0.1827490481758707,0.16416108,0.485958,80.1
2022-01-08 04:00:00+00:00,0.714043,2022-01-07 18:00:00-10:00,1,18,4,0.0007089288637811905,0.16416144,0.457872,78.1
2022-01-08 05:00:00+00:00,0.772766,2022-01-07 19:00:00-10:00,1,19,4,0.0,0.1641618,0.457021,75.9
2022-01-08 06:00:00+00:00,0.725957,2022-01-07 20:00:00-10:00,1,20,4,0.0,0.16416216,0.484255,73.9
2022-01-08 07:00:00+00:00,0.664681,2022-01-07 21:00:00-10:00,1,21,4,0.0,0.16416252,0.494468,69.1
2022-01-08 08:00:00+00:00,0.625532,2022-01-07 22:00:00-10:00,1,22,4,0.0,0.16416288,0.445958,69.1
2022-01-08 09:00:00+00:00,0.551489,2022-01-07 23:00:00-10:00,1,23,4,0.0,0.16416324,0.531064,66.9
2022-01-08 10:00:00+00:00,0.50383,2022-01-08 00:00:00-10:00,1,0,5,0.0,0.1641636,0.563404,66.9
2022-01-08 11:00:00+00:00,0.450213,2022-01-08 01:00:00-10:00,1,1,5,0.0,0.16416396,0.60766,64.9
2022-01-08 12:00:00+00:00,0.390638,2022-01-08 02:00:00-10:00,1,2,5,0.0,0.16416432,0.542128,64.0
2022-01-08 13:00:00+00:00,0.378723,2022-01-08 03:00:00-10:00,1,3,5,0.0,0.16416468,0.485958,63.0
2022-01-08 14:00:00+00:00,0.359149,2022-01-08 04:00:00-10:00,1,4,5,0.0,0.16416504,0.457872,64.0
2022-01-08 15:00:00+00:00,0.380426,2022-01-08 05:00:00-10:00,1,5,5,0.0,0.1641654,0.457021,64.0
2022-01-08 16:00:00+00:00,0.398298,2022-01-08 06:00:00-10:00,1,6,5,0.0,0.16416576,0.484255,63.0
2022-01-08 17:00:00+00:00,0.434043,2022-01-08 07:00:00-10:00,1,7,5,0.0,0.16416612,0.494468,64.0
2022-01-08 18:00:00+00:00,0.403404,2022-01-08 08:00:00-10:00,1,8,5,0.11159910009019464,0.16416648,0.445958,66.9
2022-01-08 19:00:00+00:00,0.185532,2022-01-08 09:00:00-10:00,1,9,5,0.3453302904081801,0.16416684,0.531064,72.0
2022-01-08 20:00:00+00:00,0.0689362,2022-01-08 10:00:00-10:00,1,10,5,0.546561594567783,0.1641672,0.506383,79.0
2022-01-08 21:00:00+00:00,-0.285106,2022-01-08 11:00:00-10:00,1,11,5,0.6939223310556936,0.16416756,0.559149,80.1
2022-01-08 22:00:00+00:00,-0.326808,2022-01-08 12:00:00-10:00,1,12,5,0.7762053902195417,0.16416792,0.325106,81.0
2022-01-08 23:00:00+00:00,-0.403404,2022-01-08 13:00:00-10:00,1,13,5,0.7875002095938567,0.16416828,0.537021,82.0
2022-01-09 00:00:00+00:00,-0.373617,2022-01-08 14:00:00-10:00,1,14,5,0.7270054304926369,0.16416864,0.514043,82.0
2022-01-09 01:00:00+00:00,-0.155745,2022-01-08 15:00:00-10:00,1,15,5,0.5990389231536596,0.164169,0.467234,82.0
2022-01-09 02:00:00+00:00,0.0868086,2022-01-08 16:00:00-10:00,1,16,5,0.41306925230989744,0.16416936,0.699575,82.9
2022-01-09 03:00:00+00:00,0.48,2022-01-08 17:00:00-10:00,1,17,5,0.18556665039708808,0.16416972,0.739574,81.0
2022-01-09 04:00:00+00:00,0.737021,2022-01-08 18:00:00-10:00,1,18,5,0.0009009907067466263,0.16417008,0.738724,80.1
2022-01-09 05:00:00+00:00,0.793191,2022-01-08 19:00:00-10:00,1,19,5,0.0,0.16417044,0.787234,77.0
2022-01-09 06:00:00+00:00,0.750638,2022-01-08 20:00:00-10:00,1,20,5,0.0,0.1641708,0.737872,75.0
2022-01-09 07:00:00+00:00,0.677447,2022-01-08 21:00:00-10:00,1,21,5,0.0,0.16417116,0.689362,73.0
2022-01-09 08:00:00+00:00,0.64766,2022-01-08 22:00:00-10:00,1,22,5,0.0,0.16417152,0.603404,72.0
2022-01-09 09:00:00+00:00,0.6,2022-01-08 23:00:00-10:00,1,23,5,0.0,0.16417188,0.579574,71.1
2022-01-09 10:00:00+00:00,0.522553,2022-01-09 00:00:00-10:00,1,0,6,0.0,0.16417224,0.518298,69.1
2022-01-09 11:00:00+00:00,0.460426,2022-01-09 01:00:00-10:00,1,1,6,0.0,0.1641726,0.473192,71.1
2022-01-09 12:00:00+00:00,0.443404,2022-01-09 02:00:00-10:00,1,2,6,0.0,0.16417296,0.445958,71.1
2022-01-09 13:00:00+00:00,0.405957,2022-01-09 03:00:00-10:00,1,3,6,0.0,0.16417332,0.42383,69.1
2022-01-09 14:00:00+00:00,0.404255,2022-01-09 04:00:00-10:00,1,4,6,0.0,0.16417368,0.414468,68.0
2022-01-09 15:00:00+00:00,0.404255,2022-01-09 05:00:00-10:00,1,5,6,0.0,0.16417404,0.41617,66.9
2022-01-09 16:00:00+00:00,0.415319,2022-01-09 06:00:00-10:00,1,6,6,0.0,0.1641744,0.448511,66.9
2022-01-09 17:00:00+00:00,0.439149,2022-01-09 07:00:00-10:00,1,7,6,0.0,0.16417476,0.475745,66.0
2022-01-09 18:00:00+00:00,0.374468,2022-01-09 08:00:00-10:00,1,8,6,0.1111425023036479,0.16417512,0.480851,68.0
2022-01-09 19:00:00+00:00,0.100426,2022-01-09 09:00:00-10:00,1,9,6,0.34524090489687853,0.16417548,0.427234,73.9
2022-01-09 20:00:00+00:00,-0.104681,2022-01-09 10:00:00-10:00,1,10,6,0.5469594057619924,0.16417584,0.60766,78.1
2022-01-09 21:00:00+00:00,-0.214468,2022-01-09 11:00:00-10:00,1,11,6,0.6948494178913837,0.1641762,0.614468,79.0
2022-01-09 22:00:00+00:00,-0.162553,2022-01-09 12:00:00-10:00,1,12,6,0.7776643596167719,0.16417656,0.659574,80.1
2022-01-09 23:00:00+00:00,-0.316596,2022-01-09 13:00:00-10:00,1,13,6,0.7894564183866609,0.16417692,0.579575,80.1
2022-01-10 00:00:00+00:00,-0.260426,2022-01-09 14:00:00-10:00,1,14,6,0.7293891406545429,0.16417728,0.485958,81.0
2022-01-10 01:00:00+00:00,-0.134468,2022-01-09 15:00:00-10:00,1,15,6,0.6017482181574196,0.16417764,0.13617,80.1
2022-01-10 02:00:00+00:00,0.121702,2022-01-09 16:00:00-10:00,1,16,6,0.4159683902388178,0.164178,0.297021,80.1
2022-01-10 03:00:00+00:00,0.516596,2022-01-09 17:00:00-10:00,1,17,6,0.18842091899992167,0.16417836,0.557447,79.0
